T(n),n,n^2,n^3,T(n)/n,T(n)/n^2,T(n)/n^3
2193957799,12400,153760000,2147483647,176932,14.26871617,0.001150703
2237665199,12500,156250000,2147483647,179013,14.32105727,0.001145685
2265381901,12600,158760000,2147483647,179792,14.26922336,0.001132478
2315622900,12700,161290000,2147483647,182332,14.35689069,0.001130464
2345060300,12800,163840000,2147483647,183207,14.31311218,0.001118212
2395452500,12900,166410000,2147483647,185693,14.39488312,0.001115882
2441702600,13000,169000000,2147483647,187823,14.44794438,0.00111138
2534502900,13100,171610000,2147483647,193473,14.76896976,0.001127402
2560276100,13200,174240000,2147483647,193960,14.69396292,0.001113179
2597496901,13300,176890000,2147483647,195300,14.68424954,0.001104079
2675533800,13400,179560000,2147483647,199666,14.90050011,0.001111978
2732352200,13500,182250000,2147483647,202396,14.99233032,0.001110543
2792088700,13600,184960000,2147483647,205300,15.09563527,0.001109973
2858133999,13700,187690000,2147483647,208622,15.22795034,0.001111529
2942609200,13800,190440000,2147483647,213232,15.45163411,0.001119684
3129854401,13900,193210000,2147483647,225169,16.19923607,0.001165413
3230115101,14000,196000000,2147483647,230722,16.48017909,0.001177156
3194840500,14100,198810000,2147483647,226584,16.06981792,0.001139703
3170826999,14200,201640000,2147483647,223297,15.72518845,0.001107408
3321375400,14300,204490000,2147483647,232264,16.24223874,0.001135821
3382843200,14400,207360000,2147483647,234919,16.31386574,0.001132907
3506587000,14500,210250000,2147483647,241833,16.67817836,0.001150219
3541130900,14600,213160000,2147483647,242543,16.61254879,0.001137846
3643051300,14700,216090000,2147483647,247826,16.85895368,0.001146868
3771488700,14800,219040000,2147483647,254830,17.2182647,0.001163396
3728666900,14900,222010000,2147483647,250246,16.79504031,0.001127184
3917079799,15000,225000000,2147483647,261138,17.40924355,0.001160616
3863713100,15100,228010000,2147483647,255875,16.94536687,0.00112221
4101992500,15200,231040000,2147483647,269867,17.75446892,0.001168057
4106041000,15300,234090000,2147483647,268368,17.54043744,0.001146434
4249118300,15400,237160000,2147483647,275916,17.91667355,0.00116342
4274405001,15500,240250000,2147483647,275768,17.79148804,0.001147838
4589666000,15600,243360000,2147483647,294209,18.85957429,0.001208947
4625735100,15700,246490000,2147483647,294632,18.76642095,0.001195313
4897290599,15800,249640000,2147483647,309955,19.61741147,0.001241608
4748541800,15900,252810000,2147483647,298650,18.78304577,0.001181324
4878330101,16000,256000000,2147483647,304895,19.05597696,0.001190999
5001296100,16100,259210000,2147483647,310639,19.29437946,0.001198409
5087637400,16200,262440000,2147483647,314051,19.38590687,0.001196661
5152667500,16300,265690000,2147483647,316114,19.39353194,0.001189787
5181477799,16400,268960000,2147483647,315943,19.26486392,0.001174687
5321053600,16500,272250000,2147483647,322488,19.54473315,0.001184529
5344521301,16600,275560000,2147483647,321959,19.39512738,0.001168381
5643078500,16700,278890000,2147483647,337908,20.2340654,0.001211621
5655721600,16800,282240000,2147483647,336650,20.03869615,0.00119278
5864233600,16900,285610000,2147483647,346996,20.53231189,0.00121493
5833966400,17000,289000000,2147483647,343174,20.18673495,0.001187455
5949026501,17100,292410000,2147483647,347896,20.34481208,0.001189755
6186951101,17200,295840000,2147483647,359706,20.91316624,0.001215882
6307939799,17300,299290000,2147483647,364620,21.07634668,0.001218286
6337061801,17400,302760000,2147483647,364198,20.93097437,0.00120293
6750659000,17500,306250000,2147483647,385751,22.04296816,0.001259598
7020579300,17600,309760000,2147483647,398896,22.66457677,0.00128776
